Sample_Name,Sample_Source,Sample_Type
SRR10440857,17,Tumor
SRR10440859,18,Tumor
SRR10440860,19,Tumor
SRR10440861,20,Tumor
SRR10440862,22,Tumor
SRR10440863,23,Tumor
SRR10440864,24,Tumor
SRR10440865,25,Tumor
SRR10440866,26,Tumor
SRR10440867,27,Tumor
SRR10440868,28,Tumor
SRR10440869,29,Tumor
SRR10440870,30,Tumor
SRR10440871,33,Tumor
SRR10440872,34,Tumor
SRR10440873,35,Tumor
SRR10440874,37,Tumor
SRR10440875,38,Tumor
SRR10440876,39,Tumor
SRR10440877,40,Tumor
SRR10440878,41,Tumor
SRR10440879,42,Tumor
SRR10440881,44,Tumor
SRR10440882,45,Tumor
SRR10440883,46,Tumor
SRR10440884,47,Tumor
SRR10440885,48,Tumor
SRR10440886,49,Tumor
SRR10440887,50,Tumor
SRR10440888,51,Tumor
SRR10440889,52,Tumor
SRR10440890,53,Tumor
SRR10440891,54,Tumor
SRR10440892,55,Tumor
SRR10440893,56,Tumor
SRR10440894,57,Tumor
SRR10440896,60,Tumor
SRR10440897,61,Tumor
SRR10440898,63,Tumor
SRR10440899,66,Tumor
SRR10440900,67,Tumor
SRR10440901,68,Tumor
SRR10440902,71,Tumor
SRR10440903,72,Tumor
SRR10440904,73,Tumor
SRR10440905,74,Tumor
SRR10440906,89,Tumor
SRR10440907,90,Tumor
SRR10440908,91,Tumor
SRR11357867,17,Normal
SRR11357868,18,Normal
SRR11357869,19,Normal
SRR11357870,20,Normal
SRR11357871,22,Normal
SRR11357872,23,Normal
SRR11357873,24,Normal
SRR11357874,25,Normal
SRR11357875,26,Normal
SRR11357876,27,Normal
SRR11357877,28,Normal
SRR11357878,29,Normal
SRR11357879,30,Normal
SRR11357880,33,Normal
SRR11357881,34,Normal
SRR11357882,35,Normal
SRR11357883,37,Normal
SRR11357884,38,Normal
SRR11357885,39,Normal
SRR11357886,40,Normal
SRR11357887,41,Normal
SRR11357888,42,Normal
SRR11357889,44,Normal
SRR11357890,45,Normal
SRR11357891,46,Normal
SRR11357892,47,Normal
SRR11357893,48,Normal
SRR11357894,49,Normal
SRR11357895,50,Normal
SRR11357896,51,Normal
SRR11357897,52,Normal
SRR11357898,53,Normal
SRR11357899,54,Normal
SRR11357900,55,Normal
SRR11357901,56,Normal
SRR11357902,57,Normal
SRR11357904,60,Normal
SRR11357905,61,Normal
SRR11357906,63,Normal
SRR11357907,66,Normal
SRR11357908,67,Normal
SRR11357909,68,Normal
SRR11357910,71,Normal
SRR11357911,72,Normal
SRR11357912,73,Normal
SRR11357913,74,Normal
SRR11357914,89,Normal
SRR11357915,90,Normal
SRR11357916,91,Normal
